Global Seamount Database from Kim, S.-S., and P. Wessel (2011), Geophys. J. Int., in revision.
This file contains 24,646 potential seamounts from the entire ocean basins.
The columns are:
Col 1: Longitude (-180/+180). Center of each seamount (in degrees)
Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
Col 3: Estimated azimuth of the basal ellipse (in degree)
Col 4: Estimated major axis of the basal ellipse of each seamount (in km)
Col 5: Estimated minor axis of the basal ellipse of each seamount (in km)
Col 6: Seamount height obtained from the prediced bathymetry TOPO V12 (in m)
Col 7: Maximum amplitude of the Free-Air Gravity Anomaly (in mGal)
Col 8: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
Col 9: Regional depth of each seamount (in m)
Col 10: Age of underlying seafloor from the AGE 3.2 grid (in Myr)
Col 11: ID for each seamount (plate_###)
For explanation of modeling and notations, please see our GJI paper

Longitude	Latitude	Azimuth	Major	Minor	Height	FAA	VGG	Depth	CrustAge	ID
-08.61748	-08.48357	-18.4	12.5	8.3	338.0	18.1	32.3	-3742.5	27.0	KW-00052
-09.02968	-07.60795	167.4	15.6	12.7	479.8	17.8	31.1	-3921.4	25.0	KW-00053
-05.84924	-08.19989	170.5	8.8	7.0	156.1	16.4	44.4	-4345.0	39.6	KW-00054
-08.52390	-07.10434	173.8	16.9	14.8	432.2	22.1	27.5	-4118.7	27.9	KW-00055
-00.36167	-05.67253	61.8	32.9	15.0	2570.8	94.2	94.3	-3806.6	75.3	KW-00056
-08.64229	-06.62399	168.4	13.9	11.0	275.9	18.9	17.0	-3930.2	27.7	KW-00057
-00.69449	-06.04293	55.4	17.8	10.8	1318.1	57.0	54.2	-3815.4	73.8	KW-00058
-06.10197	-05.24965	74.5	8.3	6.6	188.1	13.3	21.9	-4408.3	29.3	KW-00059
-13.30502	-07.51776	4.4	18.8	14.5	1627.8	82.4	142.7	-3242.7	2.2	KW-00060
-11.17153	-07.92707	67.0	15.8	13.5	1115.7	62.4	106.1	-3480.7	14.4	KW-00061
-09.52942	-08.83992	107.5	20.5	14.7	1540.2	61.3	96.5	-3704.2	22.9	KW-00062
-12.70127	-09.35422	55.6	18.8	5.3	674.8	46.1	68.7	-2641.9	4.2	KW-00063
-09.93748	-08.92063	149.4	19.2	14.7	1220.9	45.1	79.3	-3502.5	21.0	KW-00064
-09.67631	-07.51554	82.4	17.2	15.1	1092.7	44.7	64.1	-3731.3	22.2	KW-00065
-11.91167	-08.33686	141.8	15.7	8.5	582.8	37.3	69.6	-3117.9	10.0	KW-00066
-12.82963	-07.94440	166.3	18.7	11.9	848.0	41.1	57.9	-3075.5	4.4	KW-00067
-10.67330	-04.93303	157.9	20.2	15.7	893.7	45.7	49.6	-3570.4	6.8	KW-00068
-12.60413	-07.99399	105.6	22.9	13.7	605.4	40.4	53.0	-3047.5	5.9	KW-00069
-11.50951	-08.59908	102.0	21.6	11.3	480.4	33.5	52.6	-3158.2	12.0	KW-00070
-11.82001	-08.06768	176.5	23.7	6.6	386.7	31.3	64.2	-3131.1	11.0	KW-00071
-11.05299	-08.96063	6.4	17.4	10.9	633.3	26.8	58.8	-3614.5	15.4	KW-00072
-11.45284	-05.05528	173.2	11.7	6.0	477.0	30.1	50.2	-3156.8	1.0	KW-00073
-11.99755	-07.43922	37.7	22.6	14.2	630.4	37.4	40.8	-3268.2	10.7	KW-00074
-11.03885	-05.27636	149.8	16.8	6.2	417.6	50.0	42.1	-2958.2	2.9	KW-00075
-11.26032	-07.07666	113.2	22.0	16.0	360.0	26.8	50.6	-3623.0	14.5	KW-00076
-12.81164	-08.83857	162.7	22.3	8.7	365.3	25.9	47.9	-2864.8	2.2	KW-00077
-11.53349	-04.63648	154.3	15.4	7.0	444.6	38.6	41.9	-3111.0	3.3	KW-00078
-10.08347	-08.67142	90.2	14.0	9.5	471.4	22.9	39.4	-3566.9	20.5	KW-00079
-10.17742	-09.00412	73.2	43.7	16.7	517.0	20.3	40.2	-3814.3	19.9	KW-00080
-10.02286	-05.93017	96.9	19.8	9.7	595.9	23.6	38.5	-3403.0	9.2	KW-00081
-10.05846	-08.35235	170.0	24.9	6.6	322.7	15.7	32.6	-3546.9	19.4	KW-00082
-12.32929	-07.97748	135.9	28.4	12.7	452.6	32.6	36.6	-3181.0	7.7	KW-00083
-11.35384	-08.66837	51.7	19.3	10.4	689.0	20.5	42.1	-3347.8	12.8	KW-00084
-11.28059	-08.95965	82.8	13.1	11.7	342.7	19.3	59.8	-3351.5	14.1	KW-00085
-11.03772	-04.91645	20.8	15.3	14.0	371.2	20.5	37.2	-3413.2	4.2	KW-00086
-10.22732	-06.77206	20.2	20.9	13.8	537.5	21.2	36.5	-3485.5	18.7	KW-00087
-11.44815	-07.40873	112.6	12.0	8.7	498.3	38.9	50.9	-3266.7	13.6	KW-00088
-13.30753	-07.83208	-10.6	9.0	6.5	185.3	23.8	39.0	-2607.7	1.3	KW-00089
-12.18610	-07.96506	122.0	21.8	13.4	427.8	31.3	33.9	-3226.0	8.8	KW-00090
-12.91937	-08.07043	49.0	7.5	4.8	104.2	29.0	30.9	-2680.4	3.6	KW-00091
-10.16581	-06.94192	-56.6	21.3	16.6	667.2	33.6	35.4	-3512.2	20.6	KW-00092
-10.61217	-05.08404	-19.5	6.7	5.9	104.0	39.0	35.9	-3038.2	6.9	KW-00093
-11.64612	-08.07999	169.8	15.4	7.1	439.0	22.5	46.6	-3098.2	11.9	KW-00094
-10.49773	-06.80446	66.5	14.5	12.3	637.9	13.5	37.0	-3626.2	16.8	KW-00095
-10.21294	-07.60049	167.0	26.1	16.1	451.6	29.8	31.9	-3658.1	19.6	KW-00096
-12.21701	-09.35409	9.1	11.5	8.3	183.3	21.8	42.5	-3026.3	8.1	KW-00097
-09.49865	-09.50118	156.8	16.8	5.5	256.3	18.4	30.5	-3469.8	22.3	KW-00098
